activity
id_type;id_activity
1;1;4;1;Publication
1;2;4;2;Publication
1;3;3;3;Publication
1;4;3;4;Publication
1;5;3;5;Publication
1;6;2;6;Publication
1;7;4;7;Publication
1;8;3;8;Publication
1;9;7;9;Publication
1;10;;10;Publication
1;11;2;11;Publication
1;12;1;12;Publication
1;13;4;13;Publication
1;14;6;14;Publication
1;15;6;15;Publication
1;16;;16;Publication
1;17;;17;Publication
1;18;1;18;Publication
1;19;4;19;Publication
1;20;3;20;Publication
1;21;4;21;Publication
1;22;7;22;Publication
1;23;4;23;Publication
1;24;2;24;Publication
1;25;2;25;Publication
1;26;2;26;Publication
1;27;2;27;Publication
1;28;2;28;Publication
1;29;2;29;Publication
1;30;2;30;Publication
1;31;4;31;Publication
1;32;4;32;Publication
1;33;4;33;Publication
1;34;1;34;Publication
1;35;3;35;Publication
1;36;4;36;Publication
1;37;2;37;Publication
1;38;4;38;Publication
1;39;4;39;Publication
1;40;4;40;Publication
1;41;7;41;Publication
1;42;7;42;Publication
1;43;2;43;Publication
1;44;4;44;Publication
1;45;6;45;Publication
1;46;6;46;Publication
1;47;6;47;Publication
1;48;4;48;Publication
1;49;4;49;Publication
1;50;4;50;Publication
1;51;4;51;Publication
1;52;7;52;Publication
1;53;7;53;Publication
1;54;7;54;Publication
1;55;2;55;Publication
1;56;2;56;Publication
1;57;2;57;Publication
1;58;3;58;Publication
1;59;2;59;Publication
1;60;2;60;Publication
1;61;2;61;Publication
1;62;1;62;Publication
1;63;4;63;Publication
1;64;4;64;Publication
1;65;4;65;Publication
1;66;4;66;Publication
1;67;4;67;Publication
1;68;4;68;Publication
1;69;3;69;Publication
1;70;3;70;Publication
1;71;7;71;Publication
1;72;;72;Publication
1;73;7;73;Publication
1;74;4;74;Publication
1;75;;75;Publication
1;76;;76;Publication
1;77;6;77;Publication
1;78;3;78;Publication
1;79;4;79;Publication
1;80;4;80;Publication
1;81;4;81;Publication
1;82;4;82;Publication
1;83;4;83;Publication
1;84;4;84;Publication
1;85;6;85;Publication
1;86;2;86;Publication
1;87;1;87;Publication
1;88;2;88;Publication
1;89;1;89;Publication
1;90;7;90;Publication
1;91;3;91;Publication
1;92;4;92;Publication
1;93;1;93;Publication
1;94;;94;Publication
1;95;3;95;Publication
1;96;2;96;Publication
1;97;2;97;Publication
1;98;2;98;Publication
1;99;2;99;Publication
1;100;2;100;Publication
1;101;1;101;Publication
1;102;3;102;Publication
1;103;;103;Publication
1;104;4;104;Publication
1;105;2;105;Publication
1;106;2;106;Publication
1;107;2;107;Publication
1;108;2;108;Publication
1;109;2;109;Publication
1;110;2;110;Publication
1;111;2;111;Publication
1;112;1;112;Publication
1;113;7;113;Publication
1;114;1;114;Publication
1;115;2;115;Publication
1;116;2;116;Publication
1;117;6;117;Publication
1;118;6;118;Publication
1;119;4;119;Publication
1;120;4;120;Publication
1;121;1;121;Publication
1;122;;122;Publication
1;123;4;123;Publication
1;124;4;124;Publication
1;125;1;125;Publication
1;126;1;126;Publication
1;127;1;127;Publication
1;128;4;128;Publication
1;129;;129;Publication
1;130;4;130;Publication
1;131;1;131;Publication
1;132;6;132;Publication
